ipi,French industrial production rose a seasonally adjusted three pct in February after an unrevised 198 pct fall in January the National Statistics Institute INSEE said The figure which excludes construction and public works put the February index base 1980 at 102 after 99 in January INSEE changed its base year to 1980 from 1970 last month Reuter 3
ipi,UK Industrial production rose a provisional 04 pct in January after a 06 pct decline in December 1986 figures from the Central Statistical Office show The index for industrial production base 1980 was set at a seasonally adjusted 1098 in January after Decembers 1094 and compared with 1082 a year earlier Output of manufacturing industries fell a provisional 23 pct in January after a 02 pct rise last December The index for manufacturing base 1980 fell to 1039 from 1063 and compared with 1023 a year earlier The CSO said industrial production in the three months to January was provisionally estimated to have fallen by 07 pct from the level of the previous three months while manufacturing output rose by 05 pct in the same period In the three months industrial production was 15 pct higher than in the same period a year earlier while manufacturing output was two pct higher Within manufacturing output of the metals industry rose by six pct and that of engineering and allied industries by one pct between the two latest three month periods Output of chemicals and textiles fell by one pct and minerals by two pct The Office said output of the investment goods industries rose 01 pct while consumer goods output increased 06 pct Output of intermediate goods fell 16 pct between the two latest threemonth periods The figures showed the energy production index base 1980 rose 72 pct in January to 1264 from Decembers 1179 and from 1246 in January 1986 In the latest three months the energy index which comprises oil natural gas and coal production was down 35 pct on the previous quarter and 05 pct below the same period a year earlier REUTER 3
ipi,Japans preliminary industrial production index base 1980 rose 07 pct to a seasonally adjusted 1228 in March from the previous month the Ministry of International Trade and Industry said Production had fallen 02 in Feburary from a month earlier The preliminary unadjusted March index fell 02 pct from a year earlier after remaining flat in Feburary The adjusted March producers shipment index same base fell 06 to 1173 from February The unadjusted index rose 03 pct from a year earlier The adjusted March index of producers inventories of finished goods same base rose 07 pct to 1054 from Feburary The unadjusted index fell 11 pct from a year earlier REUTER 3
ipi,Japans industrial production index base 1980 rose 03 pct to a seasonally adjusted 1227 in February from the previous month the Ministry of International Trade and Industry said Output fell 05 pct in January from a month earlier The preliminary unadjusted February index rose 06 pct from a year earlier after a 05 pct yearonyear rise in January The adjusted February producers shipment index base 1980 rose 07 pct to 1185 from January when it fell 07 pct from December The unadjusted shipment index rose 14 pct from a year earlier after a 10 pct yearonyear January gain The adjusted February index of producers finished goods base 1980 fell 13 pct to 1045 from January when it fell 03 pct from December The unadjusted index fell 35 pct from a year earlier after a 23 pct yearonyear drop in January A 27 pct rise by the electronics industry on higher output of facsimile machines and video tape recorders was a major contributor to the rise in February industrial output though car production fell from January The official said industrial production is expected to rise 32 pct in March on higher production by machinery steel and chemical makers but will drop 34 pct in April on a downturn in the output of those industries He gave no further details REUTER 3
ipi,The Soviet economy recovered slightly last month after a poor performance in January but major industries including oil and machinery are still short of production targets official figures show Central Statistical Board data published in the weekly Ekonomicheskaya Gazeta yesterday showed that industrial output was only up 08 pct in the first two months of 1987 over the same period of last year However the figure for January alone showed a fall in output of 01 pct from a year earlier Production is targetted to increase 44 pct for all of 1987 The figures showed that only 77 pct of enterprises met their supply obligations in January and February Production of oil the countrys main export to Western nations hit 100 mln tonnes in January and February up from 973 mln a year earlier and exceeded its target by 05 pct Economists said this reflected the huge investments poured into the oil sector in recent months in an effort to reverse the stagnation in production which began in November 1983 Falling world oil prices last year helped cause a decline in Soviet trade with the West to 130 billion roubles from 1416 billion in 1985 Ekonomicheskaya Gazeta said labour productivity targets were also not fulfilled but did not give figures Economists said the overall data reflected exceptionally bad weather at the start of the year and stricter quality controls imposed on enterprises Production in the machinebuilding sector a priority in Moscows plans for economic renewal recovered slightly in February but was still 36 pct lower in the first two months of the year compared with the same period of 1986 The figures showed that five republics produced less than in the first two months of 1986 REUTER 3
ipi,British manufacturers expect output to grow rapidly in the four coming months a Confederation of British Industry CBI survey shows The CBIs monthly trends survey for March shows that 43 pct of the 1685 polled UK Firms expect to raise output in the next four months Only nine pct expect output to fall while 47 pct said production would likely remain unchanged The CBI said the positive balance between firms expecting production to rise and those forecasting a fall at 34 pct was the highest such figure recorded since 1977 In the CBIs February survey 37 pct of companies expected a rise in output while 54 pct forecast production would remain at present levels and eight pct expected production to drop The survey also showed that 23 pct of the polled companies consider current order books to be above normal while 58 pct view them as normal and only 19 pct regard them as below normal This was the highest positive balance since the question was first asked more than 10 years ago the CBI said In February the figures were 24 pct 22 pct and 54 pct respectively Companies also rated their export possibilities higher Of all polled companies 23 pct rated their export order books to be above normal and 53 pct described them as normal while only 23 pct believed export orders were below normal levels In February 25 pct thought their export books were below normal and 50 pct believed them to be about normal At 23 pct the proportion of companies rating their export books above normal was unchanged between February and March On prices the survey showed that 62 pct of companies expect average prices at which domestic orders are booked will remain unchanged in the coming four months up from 57 pct in February From 38 pct in February only 31 pct of firms now expect prices to rise before July Six pct forecast prices will fall against four pct a month earlier Commenting on the survey CBI economic situation committee chairman David Wigglesworth said sterlings more competitive level against many European currencies had improved exports But interest rates are still much higher than in our competitor countries and British manufacturers will still have to work hard to win new business both in overseas markets and in the substitution of Britishmade goods for imports here at home he said REUTER 3
ipi,Industrial output in January was 609 pct above the same 1986 month after rising 671 pct in December Brazilian Geography and Statistics Institute figures show The result is in line with the declining trend in the growth rate since October the Institute said In the 12 months to endJanuary industrial production was 1048 pct above the 12 months to endJanuary last year while in calendar 1986 output was 1089 pct above 1985 The biggest output rises in the 12 months to endJanuary were 2368 pct in pharmaceuticals and 2212 pct in machinery Reuter 3
ipi,The growth rate of Brazilian industrial output slowed in January to 609 pct above the same 1986 month after rising 671 pct in December Brazilian Geography and Statistics Institute figures show The result is in line with the declining trend in the growth rate since October the Institute said In the 12 months to endJanuary industrial production was 1048 pct above the 12 months to endJanuary last year while in calendar 1986 output was 1089 pct above 1985 The biggest output rises in the 12 months to endJanuary were 2368 pct in pharmaceuticals and 2212 pct in machinery Reuter 3
ipi,Swiss industrial output rose nine pct in the fourth quarter last year after a four pct third quarter decline and was up three pct from the final three months of 1985 the Federal Office of Industry Trade and Labour said For the full year 1986 the index base 1963 stood at 166 after up four pct from the 159 recorded the previous year Incoming orders gained four pct in the quarter after a five pct third quarter fall and were up one pct from the year earlier level In the full year they gained one pct The order backlog fell eight pct the third straight quarterly decline and ended three pct under the year earlier level REUTER 3
ipi,Chinas industrial output rose 141 pct in the first quarter of 1987 against the same 1986 period the Peoples Daily said Its overseas edition said the growth rate which compares with a target of seven pct for the whole of 1987 was rather high but the base in the first quarter of 1986 was on the low side Industrial output grew 44 pct in the first quarter of 1986 It said Chinas industrial production this year has been normal but product quality and efficiency need further improvement It gave no further details REUTER 3
